Personagem,Erro
## Personagens,Formato inválido
### Aragorn,Formato inválido
- **Classe**: Guerreiro,Formato inválido
- **Habilidades**:,Formato inválido
- Tiro de Arco,Formato inválido
- Cura,Formato inválido
### Gandalf,Formato inválido
- **Classe**: Mago,Formato inválido
- **Habilidades**:,Formato inválido
- BolaDeFogo,Formato inválido
- Cura,Formato inválido
- Tiro de Arco,Formato inválido
- BolaDeFogo,Formato inválido
### Legolas,Formato inválido
- **Classe**: Ladino,Formato inválido
- **Habilidades**:,Formato inválido
- Tiro de Arco,Formato inválido
- Cura,Formato inválido
### Boromir,Formato inválido
- **Classe**: Guerreiro,Formato inválido
- **Habilidades**:,Formato inválido
- Tiro de Arco,Formato inválido
### Saruman,Formato inválido
- **Classe**: Mago,Formato inválido
- **Habilidades**:,Formato inválido
- BolaDeFogo,Formato inválido
- Cura,Formato inválido
- Tiro de Arco,Formato inválido
- BolaDeFogo,Formato inválido
- Cura,Formato inválido
- Tiro de Arco,Formato inválido
### Gollum,Formato inválido
- **Classe**: Ladino,Formato inválido
- **Habilidades**:,Formato inválido
- Tiro de Arco,Formato inválido
- Cura,Formato inválido
### Frodo,Formato inválido
- **Classe**: Ladino,Formato inválido
- **Habilidades**:,Formato inválido
- Tiro de Arco,Formato inválido
- Cura,Formato inválido
- Escudo Divino,Formato inválido
